,decade,word,pfgw,freq,OR,LOR
0,70s,by,0.4897460082291711,402,0.9597831044078471,-0.04104795295543227
1,70s,pig,0.48044208749030487,46,0.9247079619631772,-0.07827730811531729
2,70s,Wellfleet,1.0,27,1.0,0.0
3,70s,tomato,0.6582188727125906,32,1.9259112007785464,0.6553992067982685
4,70s,laughing,0.8273390024389141,23,4.79192609085943,1.5669324372508482
5,70s,starting,0.34572425738652446,32,0.5283910018785003,-0.637918735474987
6,70s,Wood,1.0,43,1.0,0.0
7,70s,pretty,0.4316299793628051,780,0.7591594913346105,-0.27554339015077517
8,70s,kitty,0.7320930595733778,293,2.7338246244001727,1.005701590084895
9,70s,tasted,0.2830201079503338,32,0.3947218530472755,-0.9295739316253765
10,70s,Miriam,1.0,56,1.0,0.0
11,70s,darling,1.0,20,1.0,0.0
12,70s,place,0.6134734201138233,193,1.5873655999880698,0.462075786775891
13,70s,buy,0.6417177798329655,136,1.7913157140542217,0.5829503856306444
14,70s,girls,0.9837468898375852,122,60.54951235412165,4.1034614163600915
15,70s,screw,0.11197723862285726,36,0.12608609542306612,-2.0707903083633106
16,70s,finish,0.5130062144341857,231,1.0534344345051467,0.05205571644986091
17,70s,boy,0.5371657916206622,643,1.1607775563581535,0.14909008776804514
18,70s,mustard,0.04801698079928962,21,0.05043587147142159,-2.9870526215243607
19,70s,noise,0.5975234520265255,131,1.48473759529847,0.39523805313804583
20,70s,loose,0.7018321419182947,20,2.3538761002391615,0.8560633737396971
21,70s,Jack,0.7662748002466772,51,3.2788127010699233,1.1874813754838567
22,70s,moon,0.6610519143235375,88,1.9504804138950482,0.6680757083325362
23,70s,friendly,0.3770506156821854,24,0.6052555080292484,-0.502104582785306
24,70s,growing,0.37160378395454646,46,0.591330483591402,-0.5253802239726015
25,70s,together,0.32469823414061477,316,0.4806502486886174,-0.7326154070698062
26,70s,count,0.42073319665154285,43,0.726304490885974,-0.3197859431508352
27,70s,sugar,0.5433458054861813,85,1.1898687286571226,0.17384298898577785
28,70s,story,0.6686060051743922,300,2.0182066919821513,0.7022093408599337
29,70s,choose,0.7871821065063871,28,3.6990426902639792,1.3080740538121003
30,70s,monkeys,0.9124652948525467,68,10.425907110983312,2.3442937769434127
31,70s,dessert,0.8194783386923407,22,4.539704952177718,1.5128620214343016
32,70s,belong,0.5631269025709983,41,1.289015465730722,0.25387872212457707
33,70s,say,0.5608929284992082,1396,1.2780416539959503,0.24532894853527135
34,70s,medicine,0.64201117420652,50,1.7934643863721877,0.5841491607382304
35,70s,chimney,0.7045253060396562,37,2.3844995739534856,0.8689892800828132
36,70s,swim,0.628130694589185,115,1.6892753381968084,0.5242996430101753
37,70s,through,0.3400538473442774,210,0.5151651814936522,-0.6632676889803506
38,70s,barrels,0.15330492575814025,92,0.18102610955235876,-1.7091140064490926
39,70s,cinnamon,0.2912745748773038,38,0.41096297053503933,-0.889252164566595
40,70s,lemme,0.935313401690912,46,14.461001653839558,2.671455484998153
41,70s,shore,0.0,42,1.0,0.0
42,70s,biting,1.0,21,1.0,0.0
43,70s,outside,0.3120684124965683,461,0.4533832258704588,-0.7910175379087951
44,70s,amount,0.8194783386923407,33,4.539806724702499,1.5128844394956262
45,70s,sorry,0.6045757387197677,161,1.5290932402422075,0.4246749062794122
46,70s,nurse,1.0,33,1.0,0.0
47,70s,took,0.42922316302709773,192,0.7519332378647967,-0.2851077384085353
48,70s,ago,0.3556588601549455,82,0.5519314121169828,-0.5943314938363994
49,70s,skirt,0.7076935718207386,34,2.421176380387697,0.8842535296547935
50,70s,tall,0.545645849787948,46,1.2009423498688003,0.18310654017120348
51,70s,seeing,0.520700102086051,27,1.0863802723385267,0.08285131891158934
52,70s,Chris,0.024013507179567194,42,0.024601227992851787,-3.704958918881093
53,70s,fantastic,0.651985686616173,20,1.8734813051591472,0.627798360637179
54,70s,knocked,0.6020957048726917,25,1.5131917313288843,0.4142211494007741
55,70s,loves,0.608145295501227,33,1.5520015648437024,0.4395454300361002
56,70s,game,0.20820404240692839,266,0.2628221214421343,-1.3362778199548637
57,70s,teacher,0.7886942528983902,47,3.7328019423989263,1.317159142644657
58,70s,pants,0.6619584579684898,150,1.9585194243600947,0.6721887920526589
59,70s,handle,0.11627969771697075,26,0.13157142922617893,-2.0282053868057566
60,70s,called,0.7278652519616016,398,2.676197591006492,0.9843969777338331
61,70s,trash,0.2588158759344763,70,0.349154994714263,-1.05223934443866
62,70s,lives,0.512822039547489,47,1.0526420473012277,0.05130323927426628
63,70s,grocery,0.4020993712581712,20,0.6725103606308803,-0.3967377614822433
64,70s,summer,0.39953077233365514,78,0.665331134400812,-0.40747041579309856
65,70s,lie,0.7436053258988499,93,2.9006559461696,1.0649368997500486
66,70s,tape,0.20074500680168325,306,0.25101921493602314,-1.3822257892504524
67,70s,picnic,0.5249072592056422,44,1.104859902680552,0.09971854202735282
68,70s,makes,0.48773251742067325,173,0.9520923128444191,-0.04909328161824445
69,70s,cooked,0.37241075467541773,27,0.5933858903353317,-0.5219103490701719
70,70s,Michael,0.7055227420026959,27,2.39593269719167,0.8737725902057889
71,70s,tongue,0.44660345205518204,54,0.8070076798241692,-0.21442209424672745
72,70s,looking,0.42766977393088645,282,0.7471461081830106,-0.2914945196913761
73,70s,valentine,0.9129775847479771,57,10.492869009584666,2.350695884497802
74,70s,seal,1.0,22,1.0,0.0
75,70s,hunhunh,0.1007893356074233,20,0.11208078226765338,-2.1885353974305137
76,70s,fast,0.25398888794891744,107,0.3404057183930996,-1.0776170833843624
77,70s,flat,0.3200808527767079,22,0.4707512764405544,-0.7534253999444528
78,70s,able,0.4280642894406251,108,0.7484112950117621,-0.2898025924836862
79,70s,rest,0.35493967074606264,153,0.5501650025065511,-0.5975370411906237
80,70s,flying,0.7160659996081817,49,2.522115412261954,0.9250979986931144
81,70s,exactly,0.4263786132530339,33,0.743298694861663,-0.2966573031226541
82,70s,Peter,0.00595118498118404,339,0.005980463108963832,-5.1192572710476085
83,70s,pat,0.9716701483368886,35,34.30207208531139,3.5352057629977223
84,70s,Ethan,1.0,37,1.0,0.0
85,70s,wall,0.5830785365061077,105,1.398610938856505,0.33547955754726555
86,70s,eight,0.6118337560501408,82,1.5763078191193667,0.4550852890639698
87,70s,needs,0.5021849338159058,106,1.0087795807654338,0.008741264350944909
88,70s,fox,0.8013947008473264,30,4.035345080951225,1.3950918199861186
89,70s,something,0.5126388834909197,813,1.0519354546122759,0.05063175750193064
90,70s,jumping,0.6818987793242133,75,2.14383979603899,0.7625985184199884
91,70s,quite,0.38739317305255744,109,0.6323190284798493,-0.4583612203013543
92,70s,dear,0.6686060051743923,69,2.0177057308805577,0.7019610891380537
93,70s,hitting,0.30183855810758625,30,0.43231714857977066,-0.8385958198561969
94,70s,plants,0.12595905174133004,32,0.14410022013967735,-1.9372462482909618
95,70s,candy,0.16548917528455598,140,0.19824789997202139,-1.6182370113504145
96,70s,past,0.19182746947495277,21,0.23734980690801788,-1.4382202475178232
97,70s,hats,0.8194783386923407,22,4.539704952177718,1.5128620214343016
98,70s,music,0.5021849338159058,64,1.0087789917577152,0.008740680469290496
99,70s,knot,0.2912745748773038,38,0.41096297053503933,-0.889252164566595
100,70s,sort,0.5988755003613365,62,1.4930498538408703,0.4008209097215115
101,70s,telephone,0.7385332901247147,95,2.8249867404515276,1.0385036709419122
102,70s,Lois,0.0,90,1.0,0.0
103,70s,knock,0.4865580982117954,64,0.9476348425843827,-0.053786038078015574
104,70s,Lou,0.5476205614931532,22,1.2105417837975976,0.19106801460082684
105,70s,easier,0.1474366655721224,41,0.17291753562461382,-1.754940470818994
106,70s,yeah,0.4300652075355469,3753,0.7533211918416002,-0.28326359253822037
107,70s,popped,0.38301559897126713,21,0.6207768286198155,-0.47678363584223804
108,70s,we,0.5033652150630319,5507,1.013672615131182,0.013579988274794704
109,70s,first,0.44521817061669916,562,0.8023531616971021,-0.22020641679850847
110,70s,early,0.6430342812611584,78,1.8015174709061648,0.5886293491363185
111,70s,cry,0.7457084784040936,168,2.933266403391057,1.0761166155299628
112,70s,apple,0.6840112532525201,151,2.1650529852041918,0.7724448346904045
113,70s,lettuce,0.25656543537255794,51,0.34508109885753263,-1.063975820422933
114,70s,two,0.5149725416252539,821,1.0618220841823107,0.05998637976665377
115,70s,package,0.8897491487794124,27,8.070766832360045,2.088248500364776
116,70s,drew,0.3468047618775689,29,0.5309208550794765,-0.6331423176636218
117,70s,says,0.44579459569338137,275,0.8043088840474462,-0.21777189944438616
118,70s,television,0.7101356567306405,24,2.4499683969615447,0.8960751252740707
119,70s,mice,0.46050388441614987,24,0.8535763194450076,-0.158320321360422
120,70s,babies,0.8794344260070752,107,7.296132142577991,1.987344364255219
121,70s,wonder,0.5956027489278148,123,1.4729262985695526,0.3872511013132622
122,70s,cheese,0.40627309877012224,240,0.6841781917974982,-0.37953688096372296
123,70s,sleep,0.7156991921448191,388,2.5187450322995044,0.9237607744228732
124,70s,north,0.8582096988385092,21,6.052959103483967,1.8005472604822925
125,70s,others,0.4020993712581712,25,0.6725082683260819,-0.3967408726730527
126,70s,chest,0.5621523421149399,25,1.2839120896736906,0.24991173693764457
127,70s,wrong,0.2941189157647974,195,0.41656298162840494,-0.8757176124125565
128,70s,bathroom,0.5609771147664824,102,1.2778361741667865,0.2451681585105352
