,decade,word,pfgw,freq,OR,LOR
0,70s,by,0.4140251905644152,153,0.7064219497421299,-0.3475425574937482
1,70s,pig,0.912311981602245,21,10.405446848614533,2.3423294044894925
2,70s,tomato,0.5538078486900737,32,1.241218563236593,0.21609360935891028
3,70s,pretty,0.6082251578161522,220,1.5530375408526962,0.4402127169926696
4,70s,kitty,0.941538813782347,267,16.134590347514955,2.780965436121497
5,70s,Miriam,1.0,38,1.0,0.0
6,70s,yup,0.9969426940083302,1195,329.10358866221287,5.7963725603632925
7,70s,place,0.7735976096999758,103,3.4183714603684923,1.2291642564854488
8,70s,buy,0.5792624760753088,79,1.3769068259634298,0.319839552942596
9,70s,girls,0.660667244049453,25,1.9470768681453559,0.6663292059113811
10,70s,screw,0.02664948311193249,41,0.027371610192401266,-3.598248927100946
11,70s,finish,0.7666547113327553,24,3.2858125019312174,1.1896139583191923
12,70s,boy,0.6230522786642284,271,1.6537107784546052,0.5030217194338731
13,70s,noise,0.5619620950690492,76,1.282997076168622,0.2491988067288154
14,70s,none,0.4220020476434243,20,0.7300932577384354,-0.31458300267245454
15,70s,Jack,0.8795340282796202,69,7.304020812405017,1.9884249927416495
16,70s,moon,0.784971655077727,78,3.6517785848594904,1.295214332433486
17,70s,growing,0.25841415905794435,29,0.34842633170726905,-1.0543284579066086
18,70s,together,0.2792896101250152,88,0.38741106398757796,-0.948268968820833
19,70s,sugar,0.6940544877989251,43,2.2688400782706295,0.8192687221637827
20,70s,story,0.7963880554429108,64,3.912427975362607,1.3641581468438186
21,70s,monkeys,0.6865527827004833,27,2.190495318728177,0.7841276911904077
22,70s,say,0.49143628887751556,384,0.9662750861037431,-0.03430671708505707
23,70s,swim,0.7476905730075145,63,2.9640852137616083,1.0865684566027682
24,70s,through,0.11615475504236204,140,0.13131914564906724,-2.030124692240551
25,70s,barrels,0.5426331418168737,25,1.1864473660494732,0.17096343522659285
26,70s,lemme,1.0,50,1.0,0.0
27,70s,outside,0.3109381344336304,305,0.4508710206175445,-0.796573965708013
28,70s,Rufus,0.0,40,1.0,0.0
29,70s,sorry,0.6433413091718254,45,1.803974889503089,0.5899925021993712
30,70s,nurse,0.7324709808398638,35,2.7382479045154313,1.0073182649572725
31,70s,took,0.37664756413691797,45,0.6041799963027741,-0.503883118318827
32,70s,ago,0.1873625331753821,23,0.23053725952841106,-1.467342783064746
33,70s,tall,0.4509638453309981,21,0.8213612593754104,-0.1967922427119341
34,70s,knocked,0.2674287675805968,20,0.36503044580903465,-1.0077745157028937
35,70s,game,0.13528629943678017,104,0.15636742040103774,-1.8555467820266351
36,70s,Christopher,1.0,46,1.0,0.0
37,70s,teacher,0.35383087407762315,24,0.5475544947552177,-0.6022932884451568
38,70s,pants,0.662135769248096,106,1.9602731268287565,0.6730838139568925
39,70s,called,0.7187364902490826,70,2.555973657031445,0.9384332301364521
40,70s,trash,0.3849214159383327,22,0.6257853931765968,-0.46874778906067444
41,70s,lives,0.41315744913958913,23,0.7040140053209627,-0.3509570291001541
42,70s,lie,1.0,122,1.0,0.0
43,70s,tape,0.19405596034151743,172,0.24059910692618486,-1.4246231873096908
44,70s,makes,0.5648339188761561,59,1.2980468841653348,0.2608607379418519
45,70s,tongue,0.7666547113327554,20,3.2857595303387277,1.1895978368821205
46,70s,looking,0.4925697871532688,83,0.970705521580119,-0.02973213003441587
47,70s,valentine,1.0,25,1.0,0.0
48,70s,hunhunh,0.0,92,1.0,0.0
49,70s,la,0.5723818327876925,20,1.3385636464912527,0.2915971334576022
50,70s,fast,0.37827375632608307,70,0.6083493203891829,-0.497006021887163
51,70s,flat,0.04956581713107565,22,0.052143388617757,-2.9537578818375914
52,70s,rest,0.38902335769867924,68,0.6366536205104619,-0.4515295381643459
53,70s,flying,0.5874101293729125,23,1.423756923148227,0.35329909838251716
54,70s,Peter,0.2149419938120669,25,0.27376317923763177,-1.295491855676465
55,70s,pat,1.0,25,1.0,0.0
56,70s,wall,0.543177947938547,73,1.1890916796906044,0.1731897212883198
57,70s,eight,0.5656627311116297,81,1.3024610536084276,0.264255592938009
58,70s,needs,0.5531749709200081,49,1.238060306085022,0.21354588558408394
59,70s,fox,0.7666547113327553,24,3.2858125019312174,1.1896139583191923
60,70s,something,0.42058044159638375,429,0.7255025623860469,-0.3208906747743357
61,70s,jumping,0.8141491802007941,40,4.38149538775321,1.4773900788493344
