,child_sex,word,freq
0,male,second,364
1,male,heart,94
2,male,Robin,44
3,male,oh,6572
4,male,!,2963
5,male,duck,102
6,male,Johnnie,21
7,male,smooth,54
8,male,fill,24
9,male,dogs,53
10,male,kicked,22
11,male,wonderful,55
12,male,hundred,26
13,male,California,31
14,male,pushed,24
15,male,small,77
16,male,snow,80
17,male,hide,72
18,male,across,43
19,male,village,23
20,male,whoa,33
21,male,measure,23
22,male,shake,43
23,male,laugh,39
24,male,answer,61
25,male,Vadar,29
26,male,tag,37
27,male,mean,1275
28,male,cookies,221
29,male,pipe,65
30,male,still,467
31,male,any,904
32,male,doing,923
33,male,tv,268
34,male,live,148
35,male,rain,55
36,male,crash,56
37,male,for,3167
38,male,trouble,120
39,male,practice,26
40,male,Marky's,210
41,male,important,29
42,male,long,375
43,male,life,28
44,male,picked,62
45,male,sandwich,103
46,male,you're,2863
47,male,five,369
48,male,cut,366
49,male,olds,34
50,male,trying,210
51,male,friends,188
52,male,wash,242
53,male,choke,175
54,male,ninight,119
55,male,basket,116
56,male,bees,38
57,male,kick,139
58,male,crackers,51
59,male,this,5003
60,male,lover,20
61,male,drinking,39
62,male,thinks,44
63,male,milk,615
64,male,reasons,32
65,male,Yoda,46
66,male,castle,21
67,male,another,806
68,male,time,982
69,male,highchair,100
70,male,truck,174
71,male,found,147
72,male,bandaid,22
73,male,belly,23
74,male,gave,127
75,male,in,6848
76,male,bunny,33
77,male,years,69
78,male,hyena,31
79,male,plenty,36
80,male,presents,48
81,male,snakes,35
82,male,down,2137
83,male,ding,33
84,male,Hungary,35
85,male,nothing,162
86,male,stupid,31
87,male,lemme,40
88,male,byebye,87
89,male,gym,21
90,male,program,29
91,male,orange,188
92,male,four,295
93,male,snake,136
94,male,wasn't,263
95,male,set,151
96,male,almost,242
97,male,week,112
98,male,cups,45
99,male,died,74
100,male,ummhm,218
101,male,ointment,21
102,male,they've,22
103,male,desk,40
104,male,ago,79
105,male,covers,24
106,male,one's,111
107,male,we're,826
108,male,catch,142
109,male,rug,33
110,male,tail,30
111,male,buddy,72
112,male,the,22081
113,male,there,5127
114,male,boxes,26
115,male,hand,370
116,male,wine,34
117,male,ow,34
118,male,strange,23
119,male,s,60
120,male,fur,25
121,male,huggie,21
122,male,knot,29
123,male,Dabee,36
124,male,beer,50
125,male,am,233
126,male,uhoh,65
127,male,honk,30
128,male,need,627
129,male,Teddy,70
130,male,squeak,65
131,male,draw,120
132,male,nah,27
133,male,finish,218
134,male,dollar,37
135,male,mom,70
136,male,comb,28
137,male,trucks,35
138,male,probably,165
139,male,Superman,21
140,male,don't,5326
141,male,kneel,37
142,male,syrup,72
143,male,their,324
144,male,turn,837
145,male,share,58
146,male,mistake,87
147,male,closet,37
148,male,pig,44
149,male,upon,38
150,male,showing,26
151,male,ate,188
152,male,king,94
153,male,rule,26
154,male,ship,54
155,male,medicine,166
156,male,a_lot,47
157,male,knight,20
158,male,lights,88
159,male,rock,91
160,male,elbows,40
161,male,Brussels,31
162,male,beads,26
163,male,move,331
164,male,soon,160
165,male,gas,59
166,male,hate,64
167,male,too,1750
168,male,Jimmy,29
169,male,days,102
170,male,them,2180
171,male,Edna,23
172,male,water,662
173,male,your,7147
174,male,should,601
175,male,eeat,38
176,male,played,79
177,male,kiss,431
178,male,they're,836
179,male,outside,306
180,male,spoon,227
181,male,bark,99
182,male,hair,304
183,male,example,22
184,male,football,33
185,male,round,43
186,male,gold,31
187,male,throwing,32
188,male,Japan,22
189,male,breath,21
190,male,bank,27
191,male,easy,125
192,male,dishes,50
193,male,page,59
194,male,Brian,80
195,male,we'd,60
196,male,course,89
197,male,working,82
198,male,Flintstones,29
199,male,fruit,21
200,male,noodle,30
201,male,tiger,70
202,male,better,675
203,male,sorry,221
204,male,missing,39
205,male,wait,630
206,male,strawberry,56
207,male,mwuh,53
208,male,pudding,59
209,male,excuse,46
210,male,ready,769
211,male,breakfast,276
212,male,had,719
213,male,crazy,63
214,male,King,49
215,male,eats,32
216,male,where,2401
217,male,grab,68
218,male,screwdriver,40
219,male,group,44
220,male,say,2695
221,male,haha,47
222,male,"""/.",1140
223,male,feather,33
224,male,splash,26
225,male,toast,134
226,male,yell,58
227,male,pajamas,29
228,male,jumped,97
229,male,yup,67
230,male,talking,266
231,male,helping,35
232,male,sprouts,34
233,male,yuck,32
234,male,headache,31
235,male,as_soon_as,39
236,male,enough,254
237,male,turkey,99
238,male,milkshake,24
239,male,zoo,91
240,male,fighting,27
241,male,expensive,20
242,male,balls,24
243,male,tight,75
244,male,eat,1608
245,male,most,76
246,male,seems,26
247,male,call,291
248,male,late,96
249,male,yelling,20
250,male,you've,255
251,male,disco,24
252,male,camping,32
253,male,decide,35
254,male,said,1466
255,male,works,71
256,male,jump,358
257,male,Brendon,30
258,male,hits,21
259,male,people,572
260,male,which,524
261,male,maybe,798
262,male,scale,24
263,male,babies,58
264,male,asking,28
265,male,steps,36
266,male,squirt,39
267,male,lots_of,78
268,male,blew,22
269,male,stops,36
270,male,pulling,46
271,male,remember,554
272,male,please,322
273,male,doctor,117
274,male,chopped,21
275,male,blocks,105
276,male,came,277
277,male,dinner,199
278,male,sir,21
279,male,da_who,35
280,male,old,387
281,male,get,4478
282,male,case,39
283,male,violent,38
284,male,sad,86
285,male,wish,98
286,male,green,116
287,male,park,87
288,male,himself,46
289,male,middle,71
290,male,rough,60
291,male,understand,186
292,male,camera,33
293,male,button,108
294,male,nickel,31
295,male,hm,634
296,male,happening,39
297,male,sees,22
298,male,sort,78
299,male,plastic,43
300,male,straight,83
301,male,taught,42
302,male,no-no,194
303,male,store,233
304,male,also,88
305,male,sounds,117
306,male,cats,35
307,male,wouldn't,221
308,male,next,406
309,male,kid,58
310,male,bye,110
311,male,lightning,22
312,male,David,78
313,male,months,38
314,male,sit,516
315,male,taperecorder,99
316,male,they,3805
317,male,sugar,111
318,male,year,108
319,male,it,18476
320,male,alive,43
321,male,Hungarian,46
322,male,infinity,46
323,male,moomilk,39
324,male,.,101813
325,male,first,626
326,male,fox,20
327,male,reach,70
328,male,puzzle,50
329,male,cemetery,51
330,male,raisins,91
331,male,cause,211
332,male,Grandpa,45
333,male,sister,59
334,male,best,161
335,male,crawl,44
336,male,eighteen,28
337,male,underoos,45
338,male,computer,44
339,male,pulled,27
340,male,that'll,66
341,male,she,1209
342,male,so_that,67
343,male,hope,129
344,male,ugly,23
345,male,Chi,199
346,male,McDonald's,20
347,male,unhunh,21
348,male,downstairs,97
