,child_sex,word,freq
0,male,Chi's,35
1,male,sunshine,28
2,male,buzz,42
3,male,Robin,69
4,male,!,9308
5,male,logs,27
6,male,wonderful,27
7,male,fold,35
8,male,umbrella,56
9,male,snow,103
10,male,human,21
11,male,across,67
12,male,answer,33
13,male,north,23
14,male,mean,449
15,male,cookies,165
16,male,pipe,46
17,male,still,754
18,male,live,165
19,male,roared,55
20,male,k,32
21,male,five,379
22,male,trying,237
23,male,whee,46
24,male,friends,107
25,male,Timmy,95
26,male,kick,26
27,male,this,7439
28,male,thinks,27
29,male,castle,22
30,male,time,930
31,male,found,354
32,male,shave,22
33,male,bunny,327
34,male,years,122
35,male,plenty,45
36,male,cooking,82
37,male,down,2023
38,male,nothing,178
39,male,dip,26
40,male,lemme,97
41,male,orange,200
42,male,snake,45
43,male,crayon,78
44,male,set,163
45,male,week,81
46,male,Tuesday,108
47,male,ago,76
48,male,hours,25
49,male,one's,151
50,male,tail,94
51,male,buddy,82
52,male,ow,70
53,male,s,21
54,male,crab,29
55,male,fuzzy,61
56,male,Richard,30
57,male,need,566
58,male,nah,23
59,male,finish,297
60,male,Bear,406
61,male,comb,53
62,male,mom,27
63,male,bouncie,28
64,male,probably,270
65,male,bathtime,28
66,male,company,22
67,male,themselves,20
68,male,Mot,76
69,male,share,47
70,male,showing,25
71,male,king,26
72,male,ship,27
73,male,medicine,41
74,male,rock,67
75,male,beads,32
76,male,move,227
77,male,certain,22
78,male,Sesame,26
79,male,them,2605
80,male,your,5662
81,male,should,733
82,male,straw,26
83,male,played,111
84,male,kiss,121
85,male,pear,31
86,male,outside,249
87,male,hair,218
88,male,throwing,59
89,male,doll,104
90,male,dish,50
91,male,dressing,26
92,male,page,201
93,male,Brian,51
94,male,we'd,42
95,male,fruit,69
96,male,better,558
97,male,boring,58
98,male,strawberry,32
99,male,ready,513
100,male,breakfast,100
101,male,had,860
102,male,g,37
103,male,nineteen,22
104,male,grab,25
105,male,stays,25
106,male,"""/.",195
107,male,toast,82
108,male,yell,24
109,male,pajamas,29
110,male,yuck,40
111,male,yogurt,31
112,male,enough,349
113,male,turkey,48
114,male,zoo,118
115,male,test,26
116,male,eat,1871
117,male,seems,29
118,male,call,426
119,male,said,1557
120,male,Swiss,22
121,male,people,389
122,male,maybe,692
123,male,asking,26
124,male,snort,44
125,male,lots_of,107
126,male,calf,59
127,male,please,759
128,male,past,135
129,male,blocks,206
130,male,sir,61
131,male,New,26
132,male,wish,31
133,male,himself,161
134,male,understand,72
135,male,camera,53
136,male,laughing,80
137,male,button,81
138,male,nickel,29
139,male,hm,1368
140,male,happening,46
141,male,plastic,36
142,male,also,157
143,male,sounds,86
144,male,pages,40
145,male,wouldn't,170
146,male,next,431
147,male,bye,234
148,male,David,70
149,male,sit,854
150,male,they,3372
151,male,fox,37
152,male,reach,53
153,male,puzzle,165
154,male,crawl,24
155,male,Lassie,60
156,male,ooh,67
157,male,that'll,31
158,male,lonely,23
159,male,she,1522
160,male,Ernie,61
161,male,built,124
162,male,hope,124
163,male,Winnie_the_Pooh,24
164,male,whining,21
165,male,seven,104
166,male,french,20
167,male,music,59
168,male,hungry,776
169,male,other,920
170,male,than,387
171,male,me,3539
172,male,brother,79
173,male,tree,227
174,male,moose,33
175,male,last,302
176,male,swan,21
177,male,sandbox,21
178,male,these,1340
179,male,telling,77
180,male,where's,1056
181,male,good_night,51
182,male,Terry,20
183,male,uhhuh,716
184,male,there's,1276
185,male,arm,76
186,male,bedroom,36
187,male,thought,359
188,male,type,23
189,male,from,620
190,male,upstairs,70
191,male,grapes,46
192,male,somewhere,42
193,male,oops,172
194,male,e,64
195,male,tall,111
196,male,cracker,37
197,male,tweet,46
198,male,glue,26
199,male,brought,97
200,male,pick,366
201,male,shop,22
202,male,couple,90
203,male,raccoon,21
204,male,dress,36
205,male,hear,278
206,male,kiwi,62
207,male,Honey,29
208,male,falling,59
209,male,giant,42
210,male,farm,94
211,male,it's,4006
212,male,tear,37
213,male,creatures,30
214,male,eleven,20
215,male,balloons,26
216,male,boots,125
217,male,em,86
218,male,squish,20
219,male,anymore,252
220,male,only,337
221,male,mashed,35
222,male,Ross,138
223,male,wolf,53
224,male,men,54
225,male,policeman,141
226,male,Jean,31
227,male,today,541
228,male,up,3694
229,male,at,3167
230,male,rabbit,94
231,male,clap,23
232,male,line,73
233,male,night_night,60
234,male,seem,31
235,male,chasing,25
236,male,you'll,270
237,male,Mister,57
238,male,tub,33
239,male,Mickey,22
240,male,peek_a_boo,31
241,male,worked,28
242,male,block,79
243,male,bathtub,22
244,male,why,1845
245,male,way,850
246,male,carry,52
247,male,horn,20
248,male,weather,25
249,male,taken,29
250,male,gets,141
251,male,giving,55
252,male,oranges,103
253,male,rocket,218
254,male,town,44
255,male,won't,302
256,male,bang,57
257,male,fit,239
258,male,watched,35
259,male,wan,38
260,male,times,70
261,male,train,171
262,male,Marcella,21
263,male,bottom,93
264,male,definitely,39
265,male,everybody,85
266,male,circle,96
267,male,suppose,48
268,male,nearest,24
269,male,bit,260
270,male,clouds,107
271,male,pull,215
272,male,police,36
273,male,mhm,1037
274,male,Stan,21
275,male,elephants's,27
276,male,coloring,26
277,male,though,285
278,male,tacos,21
279,male,chocolate,205
280,male,tickle,66
281,male,panda,26
282,male,rained,47
283,male,someone,115
284,male,finished,167
285,male,parents,22
286,male,witch,20
287,male,spots,28
288,male,anywhere,39
289,male,door,352
290,male,mix,62
291,male,very,1299
292,male,cock_a_doodle_doo,23
293,male,wear,174
294,male,mommy,249
295,male,learn,81
296,male,ruff,22
297,male,must,288
298,male,ho,28
299,male,anything,340
300,male,tape,159
301,male,Bro,388
302,male,grew,42
303,male,own,120
304,male,either,142
305,male,point,67
306,male,sing,149
307,male,seemed,21
308,male,looking,307
309,male,Pat,22
310,male,Moosh,47
311,male,angry,57
312,male,bus,247
313,male,change,111
314,male,number,191
315,male,lick,23
316,male,eating,385
317,male,pop,182
318,male,picture,226
319,male,left,197
320,male,bag,168
321,male,yard,30
322,male,Nathan,32
323,male,boy,1066
324,male,shelf,36
325,male,Miffy,27
326,male,sixty,26
327,male,throw,336
328,male,choo_choo,24
329,male,sign,36
330,male,buy,199
331,male,walks,154
332,male,somebody's,27
333,male,pan,61
334,male,win,22
335,male,sticking,29
336,male,we,4503
337,male,sea,91
338,male,school,469
339,male,cash,30
340,male,pretending,49
341,male,diapers,21
342,male,cows,77
343,male,welcome,63
344,male,Miss,37
345,male,cocoon,190
346,male,shall,124
347,male,tires,21
348,male,station,30
349,male,//.,172
350,male,present,20
351,male,have,4107
352,male,toes,41
353,male,Asian,142
354,male,babys,40
355,male,softly,20
356,male,changed,36
357,male,couldn't,89
358,male,each_other,22
359,male,pickles,28
360,male,charge,49
361,male,problem,32
362,male,was,3279
363,male,regular,25
364,male,burn,30
365,male,brown,73
366,male,twenty,93
367,male,nuts,27
368,male,grocery,23
369,male,picnic,188
370,male,boys,107
371,male,after,448
372,male,names,46
373,male,cup,341
374,male,Max,47
375,male,whoops,173
376,male,twelve,31
377,male,peach,22
378,male,beach,38
379,male,ramp,37
380,male,even,332
381,male,marbles,24
382,male,sleepy,74
383,male,peep,21
384,male,geese,20
385,male,would,1359
386,male,punch,23
387,male,Cookie_Monster,37
388,male,we've,80
389,male,show,452
390,male,driver,51
391,male,nana,21
392,male,doors,21
393,male,piles,22
394,male,who,1457
395,male,cluck,28
396,male,anyone,33
397,male,name,435
398,male,stinky,33
399,male,horsie,65
400,male,caterpillar,539
401,male,idea,201
402,male,queen,21
403,male,monsters,28
404,male,Ma,47
405,male,knife,64
406,male,/.,816
407,male,ya,216
408,male,brush,154
409,male,lion,83
410,male,ah,294
411,male,run,144
412,male,flew,211
413,male,Sabato,20
414,male,hah,35
415,male,ears,138
416,male,broken,109
417,male,itself,28
418,male,be,2133
419,male,scoop,26
420,male,back,1673
421,male,Catherine,35
422,male,roll,114
423,male,looks,668
424,male,o,70
425,male,bugs,32
426,male,keys,48
