,bootstrap_num,speech_type,speech_metric,embeddings,assoc,corr
0,0,CDS,pfgw,Word2Vec,WEAT,"(0.17221915127633, 5.442356216424804e-18)"
1,0,CS,pfgw,Word2Vec,WEAT,"(0.21175031898465146, 1.414210243808444e-26)"
2,0,CDS,OR,Word2Vec,WEAT,"(0.13756078959146398, 5.766634725177551e-12)"
3,0,CS,OR,Word2Vec,WEAT,"(0.11002243580848427, 3.8537477230282344e-08)"
4,0,CDS,LOR,Word2Vec,WEAT,"(0.16737967129252607, 4.569971783334742e-17)"
5,0,CS,LOR,Word2Vec,WEAT,"(0.18409294295718484, 2.2515111624413104e-20)"
6,1,CDS,pfgw,Word2Vec,WEAT,"(0.16300157354709444, 3.266501221210412e-16)"
7,1,CS,pfgw,Word2Vec,WEAT,"(0.21240946110017841, 1.1539485281513645e-26)"
8,1,CDS,OR,Word2Vec,WEAT,"(0.13752238446307236, 6.2582847621752236e-12)"
9,1,CS,OR,Word2Vec,WEAT,"(0.10404882048340125, 2.1037036486185935e-07)"
10,1,CDS,LOR,Word2Vec,WEAT,"(0.16101507291892117, 7.490447378606277e-16)"
11,1,CS,LOR,Word2Vec,WEAT,"(0.18716504670102901, 5.802339810263654e-21)"
12,2,CDS,pfgw,Word2Vec,WEAT,"(0.1745022944448588, 1.8618362649395954e-18)"
13,2,CS,pfgw,Word2Vec,WEAT,"(0.20800978354918176, 1.0334244933209715e-25)"
14,2,CDS,OR,Word2Vec,WEAT,"(0.14557086823656795, 2.9902794718513524e-13)"
15,2,CS,OR,Word2Vec,WEAT,"(0.11992495211821969, 1.981787788270322e-09)"
16,2,CDS,LOR,Word2Vec,WEAT,"(0.16718656409770827, 4.758839512378063e-17)"
17,2,CS,LOR,Word2Vec,WEAT,"(0.17763074974367898, 4.455961658352366e-19)"
18,3,CDS,pfgw,Word2Vec,WEAT,"(0.16736129785959974, 4.6733088733028855e-17)"
19,3,CS,pfgw,Word2Vec,WEAT,"(0.2040448139266925, 9.560016361123313e-25)"
20,3,CDS,OR,Word2Vec,WEAT,"(0.16882371472492347, 2.4738688470328448e-17)"
21,3,CS,OR,Word2Vec,WEAT,"(0.12362550625395234, 6.375979170281266e-10)"
22,3,CDS,LOR,Word2Vec,WEAT,"(0.17121374923807642, 8.640938085743874e-18)"
23,3,CS,LOR,Word2Vec,WEAT,"(0.17885334312109707, 2.7021906741348053e-19)"
24,4,CDS,pfgw,Word2Vec,WEAT,"(0.16932971047613538, 1.4334150081490868e-17)"
25,4,CS,pfgw,Word2Vec,WEAT,"(0.22375187294197468, 8.58280939299344e-30)"
26,4,CDS,OR,Word2Vec,WEAT,"(0.1795688390850843, 1.3453184465083097e-19)"
27,4,CS,OR,Word2Vec,WEAT,"(0.13450197277751044, 1.3876140159191921e-11)"
28,4,CDS,LOR,Word2Vec,WEAT,"(0.16449884295368425, 1.175585969214684e-16)"
29,4,CS,LOR,Word2Vec,WEAT,"(0.18273503872611085, 2.9975542111125134e-20)"
30,5,CDS,pfgw,Word2Vec,WEAT,"(0.17434513888133027, 2.1956536485544667e-18)"
31,5,CS,pfgw,Word2Vec,WEAT,"(0.20960051652708866, 4.9575839060073226e-26)"
32,5,CDS,OR,Word2Vec,WEAT,"(0.17220322066141583, 5.737725883790832e-18)"
33,5,CS,OR,Word2Vec,WEAT,"(0.14052348416568067, 2.0533973510070777e-12)"
34,5,CDS,LOR,Word2Vec,WEAT,"(0.1672431413636412, 5.0620540059075327e-17)"
35,5,CS,LOR,Word2Vec,WEAT,"(0.18189713543569092, 6.727922919207039e-20)"
36,6,CDS,pfgw,Word2Vec,WEAT,"(0.18643683944601622, 9.357016135061672e-21)"
37,6,CS,pfgw,Word2Vec,WEAT,"(0.21335356346657303, 8.043177608426991e-27)"
38,6,CDS,OR,Word2Vec,WEAT,"(0.16459771790975186, 1.8346133295870076e-16)"
39,6,CS,OR,Word2Vec,WEAT,"(0.15161711128079702, 3.5843564313526024e-14)"
