,embeddings,r,p
0,Word2Vec,0.08822915355945647,0.00020196287958726994
1,Word2Vec,0.10275350247592539,1.481673067919707e-05
2,Word2Vec,0.17828486744317262,4.1564929491999285e-14
3,Word2Vec,0.10991324237828733,3.5696725310074284e-06
4,Word2Vec,0.1292372684793908,4.863126875548341e-08
5,Word2Vec,0.142369798910354,1.7863620161539653e-09
6,Word2Vec,0.09347497393963834,8.20037199606079e-05
7,Word2Vec,0.14442107400166876,1.0362507868569728e-09
8,Word2Vec,0.1850963112686132,4.1711628852874254e-15
9,Word2Vec,0.21577717490385434,4.31188584940325e-20
10,Word2Vec,0.1644728818953464,3.350611976921937e-12
11,Word2Vec,0.19298869581738845,2.5976229852615636e-16
12,Word2Vec,0.19328136033566412,2.338052266496373e-16
13,Word2Vec,0.15637595203375912,3.714592283410661e-11
14,Word2Vec,0.19194768423471864,3.772425661047167e-16
15,Word2Vec,0.13499574561994604,1.187157766189342e-08
16,Word2Vec,0.19246245350176086,3.1376623589441504e-16
17,Word2Vec,0.12757648956363543,7.222539610260597e-08
18,Word2Vec,0.2161419508278116,3.7196667077123865e-20
19,Word2Vec,0.21735365919492283,2.2726398360199768e-20
20,Word2Vec,0.20506040113174062,2.9376511368743545e-18
21,Word2Vec,0.15469273459728428,6.031339887575624e-11
22,Word2Vec,0.13959813894851966,3.6830021699714963e-09
23,Word2Vec,0.11989689876931416,4.2163417282371746e-07
24,Word2Vec,0.17535233146566065,1.0881337275553366e-13
25,Word2Vec,0.20189258575424737,9.792472000288573e-18
26,Word2Vec,0.14794296874519972,3.995320951364868e-10
27,Word2Vec,0.16253134770016442,6.032851989564953e-12
28,Word2Vec,0.1345229890569822,1.3358917467361892e-08
29,Word2Vec,0.16203037805216855,7.013301999937423e-12
30,Word2Vec,0.18652935111661856,2.5423864306988473e-15
31,Word2Vec,0.09862780153521097,3.230007098983662e-05
32,Word2Vec,0.23675368109316655,5.672477252100615e-24
33,Word2Vec,0.16539269045857155,2.529596339869599e-12
34,Word2Vec,0.20078292805222306,1.485994384145802e-17
35,Word2Vec,0.1635150428096739,4.482373682706246e-12
36,Word2Vec,0.23593009407621124,8.195138963911992e-24
37,Word2Vec,0.12061303664739124,3.592738069985865e-07
38,Word2Vec,0.20932943290460515,5.618771006406093e-19
39,Word2Vec,0.22353788712015982,1.755332895286344e-21
40,Word2Vec,0.2408022285825998,9.10749677419934e-25
41,Word2Vec,0.15159695064965126,1.450736681575135e-10
42,Word2Vec,0.16367781527376937,4.266617147501534e-12
43,Word2Vec,0.20201132798482505,9.363709738416333e-18
44,Word2Vec,0.18317849505606112,8.04101956164266e-15
45,Word2Vec,0.0748259237202184,0.0016314646828178314
46,Word2Vec,0.06842447761573583,0.003976076490490129
47,Word2Vec,0.1357015922497358,9.945846642373289e-09
48,Word2Vec,0.1539257847182898,7.508750813708879e-11
49,Word2Vec,0.18246938526744366,1.0231248444554716e-14
50,Word2Vec,0.14813669923917078,3.7887397236630116e-10
51,Word2Vec,0.10056601360396192,2.2480763784781954e-05
52,Word2Vec,0.229104075911372,1.6383244544199329e-22
53,Word2Vec,0.20121060172152225,1.2657119576125838e-17
54,Word2Vec,0.1341603682296578,1.4620826594388895e-08
