,word,pfgw,freq,OR,LOR
0,smiles,1.0,3,1.0,0.0
1,expressing,1.0,4,1.0,0.0
2,lass,1.0,2,1.0,0.0
3,tea,0.7647058823529412,17,3.2502139205605083,1.178720815886418
4,wavers,0.0,1,1.0,0.0
5,bud,1.0,1,1.0,0.0
6,flue,0.0,4,1.0,0.0
7,minimal,0.3333333333333333,6,0.4999926870648803,-0.6931618065371438
8,machines,0.0,2,1.0,0.0
9,piss,1.0,6,1.0,0.0
10,horowitz,1.0,1,1.0,0.0
11,tangent,0.0,2,1.0,0.0
12,firemen,1.0,2,1.0,0.0
13,legitimate,0.0,1,1.0,0.0
14,murdered,0.0,3,1.0,0.0
15,no,0.5884509624197983,1091,1.4318716644955247,0.3589824447566677
16,laborers,0.0,1,1.0,0.0
17,meanwhile,1.0,7,1.0,0.0
18,brown,0.8,15,4.000263284918162,1.3863601801833092
19,income,0.05555555555555556,18,0.05881664669963199,-2.833330357008221
20,sixty,0.28,25,0.38885760463364516,-0.9445420573045119
21,cheers,0.5,8,1.0,0.0
22,jennifer,0.7499999999999999,20,3.00021940891239,1.0986854222979106
23,include,0.1,10,0.11110461077187467,-2.197283082100718
24,abnormal,0.0,1,1.0,0.0
25,neighbors,1.0,7,1.0,0.0
26,evening,0.18181818181818182,22,0.22219947053575348,-1.5041797846068385
27,compost,0.5,4,1.0,0.0
28,dʔ,0.0,2,1.0,0.0
29,harley-davidsons,1.0,1,1.0,0.0
30,rosa's,1.0,1,1.0,0.0
31,impractical,0.0,1,1.0,0.0
32,massive,1.0,1,1.0,0.0
33,spices,0.625,8,1.6666910436518676,0.5108402498501495
34,pregnant,0.7608695652173914,46,3.18237675893607,1.1576283260919313
35,romans,0.0,4,1.0,0.0
36,trainers,0.7500000000000001,4,3.0000438779315943,1.0986269145383492
37,worms,1.0,4,1.0,0.0
38,entrusted,0.0,1,1.0,0.0
39,unsuccessfully,0.0,1,1.0,0.0
40,basis,0.3333333333333333,9,0.49998903051710136,-0.6931691197664052
41,reliable,1.0,2,1.0,0.0
42,five-story,0.0,1,1.0,0.0
43,to,0.5014307726172132,4543,1.0058367465057787,0.005819778693424203
44,andrew,1.0,3,1.0,0.0
45,poorly,1.0,2,1.0,0.0
