,word,pfgw,freq,OR,LOR
0,humming,0.6,5,1.5000019582680033,0.4054664136193144
1,dab,1.0,2,1.0,0.0
2,probably,0.49121844127332603,1822,0.9654396618601637,-0.03517167325578066
3,particles,1.0,2,1.0,0.0
4,extradition,0.0,1,1.0,0.0
5,mailbox,1.0,4,1.0,0.0
6,taxachusetts,0.0,1,1.0,0.0
7,essentially,0.2553191489361702,47,0.34284684784153435,-1.0704714392810948
8,memorized,0.0,4,1.0,0.0
9,delinquents,1.0,1,1.0,0.0
10,conceive,0.5,2,1.0,0.0
11,spouse,0.39999999999999997,15,0.666664055632436,-0.40546902466718004
12,gullible,0.0,1,1.0,0.0
13,fourths,1.0,1,1.0,0.0
14,anderson,0.0,1,1.0,0.0
15,some,0.48402278919990094,4037,0.9379117064325869,-0.06409946400916726
16,salvageable,1.0,2,1.0,0.0
17,customers,0.5263157894736842,19,1.1111125616932587,0.10536182118090691
18,jonathan,0.0,1,1.0,0.0
19,italians,0.75,4,3.0000078330720132,1.0986148996887053
20,warrantee,0.0,2,1.0,0.0
21,focuses,1.0,2,1.0,0.0
22,outraged,0.0,1,1.0,0.0
23,janet,1.0,1,1.0,0.0
24,shine,0.6666666666666666,3,2.0000026110205957,0.693148486069391
25,schooling,0.3076923076923077,13,0.4444415433028742,-0.8109367438061664
26,assembled,0.25,4,0.333332462994271,-1.0986148996887055
27,monetary,0.5,6,1.0,0.0
28,sealing,0.0,2,1.0,0.0
29,texan,0.37931034482758624,29,0.6111055263625517,-0.49248562381901306
30,chengdu,1.0,1,1.0,0.0
31,cadets,0.0,3,1.0,0.0
32,next,0.48240165631469983,483,0.9319793092550731,-0.07044466491307097
33,collisions,0.0,2,1.0,0.0
34,overflows,1.0,1,1.0,0.0
35,coast,0.5686274509803921,51,1.3181938649060172,0.2762625154806187
36,trucks,0.276595744680851,47,0.382342458546189,-0.9614385836404203
37,weirdest,0.75,12,3.0000234994001125,1.0986201217708016
38,lieu,0.3333333333333333,6,0.49999869448970213,-0.6931497915839497
39,heartbeats,0.0,2,1.0,0.0
40,brutal,0.0,4,1.0,0.0
41,connery,1.0,5,1.0,0.0
42,movers,0.0,2,1.0,0.0
43,closer,0.46153846153846156,52,0.8571383809789893,-0.15415590203207313
44,mowers,1.0,2,1.0,0.0
45,regular,0.6312849162011174,179,1.712226281365029,0.5377944426799035
46,impression,0.3,10,0.4285691905508534,-0.8473030824488472
47,transaction,0.75,4,3.0000078330720132,1.0986148996887053
48,pronounce,1.0,5,1.0,0.0
49,overcrowding,0.45454545454545453,11,0.8333322454038241,-0.18232286231021788
50,retarded,1.0,2,1.0,0.0
51,homesick,0.0,2,1.0,0.0
52,unraveling,0.0,2,1.0,0.0
53,windstorm,1.0,1,1.0,0.0
54,signal,0.0,11,1.0,0.0
55,battled,0.0,1,1.0,0.0
56,drank,0.5,6,1.0,0.0
57,tripped,1.0,3,1.0,0.0
58,physiology,0.0,1,1.0,0.0
59,atlanta,0.35294117647058826,34,0.5454474243963182,-0.606148858928953
60,samna,0.0,3,1.0,0.0
61,repertory,1.0,1,1.0,0.0
62,enlightened,1.0,4,1.0,0.0
63,tastes,0.7647058823529411,17,3.2500381867245975,1.1786667460340328
64,directing,1.0,2,1.0,0.0
65,rochester,0.375,24,0.5999953001199775,-0.5108334569300407
66,mulched,1.0,3,1.0,0.0
67,reevaluated,0.0,2,1.0,0.0
68,stem,0.0,1,1.0,0.0
69,caravans,1.0,2,1.0,0.0
70,erase,0.6,5,1.5000019582680033,0.4054664136193144
71,mormons,0.0,5,1.0,0.0
72,inertia,1.0,4,1.0,0.0
73,transforms,0.0,1,1.0,0.0
74,wayside,1.0,2,1.0,0.0
75,sting,0.0,5,1.0,0.0
76,marks,0.2857142857142857,7,0.39999843338764257,-0.9162946484127182
77,save,0.42400000000000004,125,0.7360928508832437,-0.3063990121189075
78,afterwards,0.625,24,1.6666797219912157,0.5108334569300408
79,federal,0.16981132075471697,106,0.2045267616211833,-1.5870564483879162
80,tokyo,1.0,5,1.0,0.0
81,yuppie,1.0,6,1.0,0.0
82,vocation,0.25,4,0.333332462994271,-1.0986148996887055
83,categories,0.5,8,1.0,0.0
84,relates,0.6666666666666666,3,2.0000026110205957,0.693148486069391
85,bee,1.0,2,1.0,0.0
86,woken,0.0,1,1.0,0.0
87,examinations,0.0,1,1.0,0.0
88,films,0.4444444444444444,18,0.7999979111671615,-0.22314616235866672
89,accurately,0.0,4,1.0,0.0
90,marked,0.16666666666666666,6,0.1999989555931252,-1.6094431344821092
91,providers,1.0,1,1.0,0.0
92,speeches,0.0,1,1.0,0.0
93,torrents,0.0,1,1.0,0.0
94,rubber,0.7777777777777778,9,3.5000228465793444,1.2527694960681617
95,outrageous,0.4411764705882353,34,0.7894695614764583,-0.23639400020768525
96,croak,1.0,1,1.0,0.0
97,employee,0.5454545454545454,44,1.2000062666294151,0.1823267789714983
98,deed,0.0,3,1.0,0.0
99,parts,0.4797297297297297,148,0.9220706987339055,-0.08113337861050719
100,artistic,1.0,3,1.0,0.0
101,cooperation,0.375,8,0.5999984333855974,-0.5108282347934037
102,ridiculous,0.5730337078651686,89,1.342128042334223,0.29425644557352215
103,leap,0.5833333333333334,12,1.4000036554526951,0.33647484765544355
104,inland,0.3333333333333333,3,0.4999993472457033,-0.693148486069391
105,host,0.0,2,1.0,0.0
106,cajuns,1.0,3,1.0,0.0
107,versa,0.7142857142857143,7,2.500009791365582,0.9162946484127181
108,distant,1.0,2,1.0,0.0
109,escalated,0.0,2,1.0,0.0
110,shay,0.0,1,1.0,0.0
111,seato,0.0,3,1.0,0.0
112,capture,0.0,5,1.0,0.0
113,universities,0.5,8,1.0,0.0
114,blanks,0.0,3,1.0,0.0
115,dues,0.0,4,1.0,0.0
116,michigan,0.7419354838709676,31,2.875056301675146,1.0560722572489207
117,sorrento,1.0,1,1.0,0.0
118,guru,1.0,1,1.0,0.0
119,bump,1.0,2,1.0,0.0
120,sashes,0.0,3,1.0,0.0
121,wisdom,0.75,4,3.0000078330720132,1.0986148996887053
122,inoculation,0.0,1,1.0,0.0
123,discontinue,1.0,3,1.0,0.0
124,steep,0.2,5,0.24999902086855488,-1.3862982776533408
125,stiffener,1.0,1,1.0,0.0
126,dressers,0.0,3,1.0,0.0
127,repeals,1.0,2,1.0,0.0
128,instruction,1.0,1,1.0,0.0
129,fireplaces,0.0,3,1.0,0.0
130,polishing,0.0,1,1.0,0.0
131,baptists,1.0,3,1.0,0.0
132,escapement,0.0,1,1.0,0.0
133,wiser,1.0,3,1.0,0.0
134,uncle,0.5185185185185186,27,1.0769244828792697,0.07410927768362008
135,purposes,0.5,20,1.0,0.0
136,dishonest,1.0,1,1.0,0.0
137,shenandoah,0.0,2,1.0,0.0
138,heavier,0.1875,16,0.23076621804922565,-1.466350123998668
139,transitional,1.0,1,1.0,0.0
140,kite,1.0,1,1.0,0.0
141,leasing,0.5,8,1.0,0.0
142,sharks,1.0,7,1.0,0.0
143,jew,0.0,2,1.0,0.0
144,suggest,0.2857142857142857,14,0.39999686676710416,-0.9162985649870734
145,sniffing,0.42944785276073616,326,0.7526429623586696,-0.2841643172027394
146,peter,0.6666666666666666,12,2.0000104441641926,0.6931524026284066
147,critics,0.6666666666666666,3,2.0000026110205957,0.693148486069391
148,gras,0.3333333333333333,3,0.4999993472457033,-0.693148486069391
149,mapped,1.0,2,1.0,0.0
150,sentencing,0.4090909090909091,44,0.692300461638084,-0.36773522448040474
151,bus,0.3859649122807018,57,0.6285607604087323,-0.4643225803521419
152,blessings,0.6666666666666666,3,2.0000026110205957,0.693148486069391
153,shelled,0.2857142857142857,7,0.39999843338764257,-0.9162946484127182
154,backs,0.125,8,0.142856023849777,-1.9459179821375527
155,learn,0.45381526104417674,249,0.8308574006395317,-0.1852970985633588
156,delivers,1.0,1,1.0,0.0
157,impressed,0.42307692307692313,26,0.733329503791464,-0.3101601504200238
158,diagnose,0.0,2,1.0,0.0
159,dealy,1.0,1,1.0,0.0
160,rapport,0.2,5,0.24999902086855488,-1.3862982776533408
161,facial,1.0,1,1.0,0.0
162,reshot,0.0,3,1.0,0.0
163,jean,0.75,8,3.000015666205384,1.0986175107229361
164,stepped,1.0,1,1.0,0.0
165,reasonable,0.3684210526315789,76,0.5833181018628523,-0.5390226121658408
166,fare,0.0,3,1.0,0.0
167,card,0.7009803921568628,204,2.3445132988884874,0.8520778319086766
168,kinesiology,0.0,1,1.0,0.0
169,graduated,0.5454545454545455,66,1.20000940009139,0.18232939017276523
170,overgrazed,1.0,1,1.0,0.0
171,disappointment,1.0,3,1.0,0.0
172,penney,0.5,6,1.0,0.0
173,shiites,1.0,1,1.0,0.0
174,reacts,0.0,4,1.0,0.0
175,extracts,0.0,1,1.0,0.0
176,england,0.4189189189189189,74,0.7209189379484162,-0.32722857804785344
177,interrupted,0.6666666666666666,6,2.0000052220548263,0.6931497915839497
178,replaces,0.0,1,1.0,0.0
179,pension,0.48484848484848486,33,0.9411752418502031,-0.06062592735144629
180,arteriosclerosis,1.0,2,1.0,0.0
181,legislate,0.25,4,0.333332462994271,-1.0986148996887055
182,wrongly,0.0,9,1.0,0.0
183,buzz,0.375,8,0.5999984333855974,-0.5108282347934037
184,permissible,0.0,1,1.0,0.0
185,rooting,0.3333333333333333,6,0.49999869448970213,-0.6931497915839497
186,brownwood,1.0,2,1.0,0.0
187,allies,0.3333333333333333,6,0.49999869448970213,-0.6931497915839497
188,frontal,0.0,1,1.0,0.0
189,backlash,0.0,3,1.0,0.0
190,scream,0.625,8,1.666671018384703,0.5108282347934038
191,consulted,0.0,2,1.0,0.0
192,whereabouts,0.5,4,1.0,0.0
193,overworked,0.0,8,1.0,0.0
194,inoperable,1.0,1,1.0,0.0
195,praying,0.42857142857142855,7,0.7499990208659983,-0.28768337796463533
196,choir,0.8787878787878788,33,7.250236632082481,1.9810341072418742
197,downright,0.0,3,1.0,0.0
198,nothing,0.4175824175824176,273,0.7169390047344233,-0.3327645121065902
199,citizen,0.4814814814814815,27,0.9285702162944572,-0.07410927768362013
200,dying,0.41379310344827586,29,0.7058777451976177,-0.34831322192622916
201,applications,0.3125,16,0.4545418940488792,-0.7884651934874148
202,hesitate,0.5,4,1.0,0.0
203,involving,0.3333333333333333,3,0.4999993472457033,-0.693148486069391
204,dame,0.0,2,1.0,0.0
205,confidently,0.0,5,1.0,0.0
206,spotted,1.0,2,1.0,0.0
207,respiratory,0.0,4,1.0,0.0
208,sequoia,1.0,1,1.0,0.0
209,significantly,0.6,10,1.5000039165513461,0.4054677191389864
210,compost,1.0,1,1.0,0.0
211,nets,0.0,1,1.0,0.0
212,eucalyptus,0.2,5,0.24999902086855488,-1.3862982776533408
213,mazdas,1.0,7,1.0,0.0
214,quiet,0.75,24,3.0000469993524534,1.09862795499621
215,eggs,1.0,18,1.0,0.0
216,stephen,0.5294117647058824,17,1.125001468712507,0.11778434117775965
217,tires,0.29411764705882354,17,0.4166628589133847,-0.8754778760035339
218,looks,0.5916230366492146,191,1.4487841543789464,0.3707246904613718
219,baggage,0.5,4,1.0,0.0
220,tall,0.5416666666666666,24,1.1818212676141089,0.1670566957178495
221,squeejies,1.0,2,1.0,0.0
222,wordperfect,0.6363636363636364,11,1.7500068539738034,0.559619704484212
223,compares,0.0,1,1.0,0.0
224,honduran,0.0,1,1.0,0.0
225,contempt,0.0,1,1.0,0.0
226,initiates,1.0,2,1.0,0.0
227,secret,0.5833333333333334,12,1.4000036554526951,0.33647484765544355
228,hardships,1.0,1,1.0,0.0
229,church,0.6107784431137725,167,1.5693065790641925,0.4506338524097002
230,ceramic,1.0,3,1.0,0.0
231,burden,0.6,20,1.5000078331640498,0.4054703302038958
232,steal,0.7857142857142857,14,3.666704962085359,1.2992934282808184
233,lubbock,0.7307692307692308,26,2.7143282375648785,0.9985444964596804
234,overall,0.2647058823529412,34,0.359992480191964,-1.0216721361058017
235,dispelled,0.0,3,1.0,0.0
236,qualifications,1.0,7,1.0,0.0
237,bourgeoisie,1.0,1,1.0,0.0
238,homestead,0.0,1,1.0,0.0
239,adolescents,0.625,8,1.666671018384703,0.5108282347934038
240,cultures,0.7142857142857143,14,2.500019582858993,0.9162985649870734
241,laying,0.5,16,1.0,0.0
242,procurement,0.5,2,1.0,0.0
243,speculative,1.0,2,1.0,0.0
244,relevance,0.0,5,1.0,0.0
245,darn,0.39999999999999997,15,0.666664055632436,-0.40546902466718004
246,reminds,1.0,10,1.0,0.0
247,aborigines,1.0,2,1.0,0.0
248,nephews,0.6666666666666666,6,2.0000052220548263,0.6931497915839497
249,scratches,0.6,5,1.5000019582680033,0.4054664136193144
250,appointees,0.0,3,1.0,0.0
251,reflecting,0.0,2,1.0,0.0
252,bicycling,0.75,8,3.000015666205384,1.0986175107229361
253,topics,0.25,20,0.3333289816152968,-1.0986253439074387
254,german,0.5813953488372093,43,1.3889015817312427,0.3285132057767718
255,eaves,1.0,1,1.0,0.0
256,knob,0.0,1,1.0,0.0
257,ecru,1.0,4,1.0,0.0
258,views,0.38235294117647056,34,0.6190411535704385,-0.47958352454879616
259,delivered,0.16666666666666666,12,0.19999791118352342,-1.6094483565710231
260,top,0.48469387755102045,196,0.9405866907799136,-0.06125145928433858
261,imports,0.0,6,1.0,0.0
262,liberties,0.25,4,0.333332462994271,-1.0986148996887055
263,appraisers,0.0,3,1.0,0.0
264,trespass,1.0,1,1.0,0.0
265,celebrities,0.0,3,1.0,0.0
266,rough,0.7454545454545454,55,2.9286746623918356,1.0745499870405844
267,stick,0.4482758620689655,87,0.8124904529947894,-0.20765111500753738
268,qualify,0.0,11,1.0,0.0
269,lawns,0.6666666666666666,12,2.0000104441641926,0.6931524026284066
270,unrealistic,1.0,1,1.0,0.0
271,eda,1.0,2,1.0,0.0
272,perry,1.0,2,1.0,0.0
273,anne,0.0,2,1.0,0.0
274,trinity,0.2222222222222222,9,0.2857124206995745,-1.252769496068162
275,comment,0.2380952380952381,21,0.3124955122907748,-1.1631651705783168
276,sickness,1.0,2,1.0,0.0
277,frustrates,0.6666666666666666,3,2.0000026110205957,0.693148486069391
278,offense,0.0,13,1.0,0.0
279,bars,0.7272727272727273,11,2.6666840736069877,0.9808357805930419
280,livable,0.5,2,1.0,0.0
281,errors,0.0,3,1.0,0.0
282,cans,0.5753424657534246,146,1.3548776264730578,0.30371113768722985
283,extreme,0.5,32,1.0,0.0
284,discussions,1.0,5,1.0,0.0
285,airport,0.45454545454545453,11,0.8333322454038241,-0.18232286231021788
286,estate,0.4761904761904762,21,0.9090897222509702,-0.09531148532910987
287,noises,0.411764705882353,17,0.6999972584104786,-0.3566788605028613
288,southwestern,0.25,8,0.33333159265293616,-1.0986175107229361
289,cured,1.0,2,1.0,0.0
290,acquaintance,0.5,4,1.0,0.0
291,goofing,0.0,1,1.0,0.0
292,pint,0.0,7,1.0,0.0
293,goofy,1.0,1,1.0,0.0
294,merry,0.0,5,1.0,0.0
295,few,0.5134281200631912,633,1.055218233724779,0.05374760214731601
296,impregnated,1.0,1,1.0,0.0
297,homelike,1.0,3,1.0,0.0
298,prosecutors,0.0,1,1.0,0.0
299,toughest,0.42857142857142855,7,0.7499990208659983,-0.28768337796463533
